file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,45,css,61bb1da3,Jiya Makhija,2025-04-18,13:53:54,-07:00,2025-04-18T13:53:54-07:00,0,0
style.css,46,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,15
style.css,47,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,24
style.css,48,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,17
style.css,49,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,0
style.css,50,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,0
style.css,51,css,39cc0b3f,Jiya Makhija,2025-04-18,19:46:30,-07:00,2025-04-18T19:46:30-07:00,0,6
style.css,52,css,39cc0b3f,Jiya Makhija,2025-04-18,19:46:30,-07:00,2025-04-18T19:46:30-07:00,0,33
style.css,53,css,39cc0b3f,Jiya Makhija,2025-04-18,19:46:30,-07:00,2025-04-18T19:46:30-07:00,0,0
style.css,54,css,39cc0b3f,Jiya Makhija,2025-04-18,19:46:30,-07:00,2025-04-18T19:46:30-07:00,0,0
style.css,55,css,2fb502c0,Jiya Makhija,2025-04-10,12:27:12,-07:00,2025-04-10T12:27:12-07:00,0,4
style.css,56,css,c9455419,Jiya Makhija,2025-04-17,19:04:01,-07:00,2025-04-17T19:04:01-07:00,0,40
style.css,57,css,c9455419,Jiya Makhija,2025-04-17,19:04:01,-07:00,2025-04-17T19:04:01-07:00,0,13
style.css,58,css,c9455419,Jiya Makhija,2025-04-17,19:04:01,-07:00,2025-04-17T19:04:01-07:00,0,19
style.css,59,css,e735035d,Jiya Makhija,2025-04-17,19:26:14,-07:00,2025-04-17T19:26:14-07:00,0,19
style.css,60,css,5df3db9e,Jiya Makhija,2025-04-18,13:14:48,-07:00,2025-04-18T13:14:48-07:00,0,30
style.css,61,css,4142b698,Jiya Makhija,2025-04-17,19:25:16,-07:00,2025-04-17T19:25:16-07:00,0,15
style.css,62,css,c9455419,Jiya Makhija,2025-04-17,19:04:01,-07:00,2025-04-17T19:04:01-07:00,0,44
style.css,63,css,2fb502c0,Jiya Makhija,2025-04-10,12:27:12,-07:00,2025-04-10T12:27:12-07:00,0,0
style.css,64,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,0
style.css,65,css,2fb502c0,Jiya Makhija,2025-04-10,12:27:12,-07:00,2025-04-10T12:27:12-07:00,0,6
style.css,66,css,3fb3e060,Jiya Makhija,2025-04-18,21:27:37,-07:00,2025-04-18T21:27:37-07:00,0,7
style.css,67,css,3fb3e060,Jiya Makhija,2025-04-18,21:27:37,-07:00,2025-04-18T21:27:37-07:00,0,18
style.css,68,css,3fb3e060,Jiya Makhija,2025-04-18,21:27:37,-07:00,2025-04-18T21:27:37-07:00,0,14
style.css,69,css,3fb3e060,Jiya Makhija,2025-04-18,21:27:37,-07:00,2025-04-18T21:27:37-07:00,0,21
style.css,70,css,3fb3e060,Jiya Makhija,2025-04-18,21:27:37,-07:00,2025-04-18T21:27:37-07:00,0,14
style.css,71,css,2fb502c0,Jiya Makhija,2025-04-10,12:27:12,-07:00,2025-04-10T12:27:12-07:00,0,0
style.css,72,css,bae22372,Jiya Makhija,2025-04-18,20:00:41,-07:00,2025-04-18T20:00:41-07:00,0,0
style.css,73,css,2fb502c0,Jiya Makhija,2025-04-10,12:27:12,-07:00,2025-04-10T12:27:12-07:00,0,14
style.css,74,css,f7e8c715,Jiya Makhija,2025-04-17,19:08:07,-07:00,2025-04-17T19:08:07-07:00,0,46
style.css,75,css,f7e8c715,Jiya Makhija,2025-04-17,19:08:07,-07:00,2025-04-17T19:08:07-07:00,0,21
style.css,76,css,9373fac7,Jiya Makhija,2025-04-10,12:34:09,-07:00,2025-04-10T12:34:09-07:00,0,0
style.css,77,css,9373fac7,Jiya Makhija,2025-04-10,12:34:09,-07:00,2025-04-10T12:34:09-07:00,0,0
style.css,78,css,9373fac7,Jiya Makhija,2025-04-10,12:34:09,-07:00,2025-04-10T12:34:09-07:00,0,12
style.css,79,css,9373fac7,Jiya Makhija,2025-04-10,12:34:09,-07:00,2025-04-10T12:34:09-07:00,0,46
style.css,80,css,c4f00634,Jiya Makhija,2025-04-10,14:32:39,-07:00,2025-04-10T14:32:39-07:00,0,0
style.css,81,css,c4f00634,Jiya Makhija,2025-04-10,14:32:39,-07:00,2025-04-10T14:32:39-07:00,0,0
style.css,82,css,4205bd38,Jiya Makhija,2025-04-10,14:36:52,-07:00,2025-04-10T14:36:52-07:00,0,5
style.css,83,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,13
style.css,84,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,31
style.css,85,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,8
style.css,86,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,0
style.css,87,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,0
style.css,88,css,1b212c44,Jiya Makhija,2025-04-17,19:22:16,-07:00,2025-04-17T19:22:16-07:00,0,11
style.css,89,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,9
style.css,90,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,13
style.css,91,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,30
style.css,92,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,19
style.css,93,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,0
style.css,94,css,b2fbd70c,Jiya Makhija,2025-04-18,20:22:09,-07:00,2025-04-18T20:22:09-07:00,0,12
style.css,95,css,b2fbd70c,Jiya Makhija,2025-04-18,20:22:09,-07:00,2025-04-18T20:22:09-07:00,0,19
style.css,96,css,b2fbd70c,Jiya Makhija,2025-04-18,20:22:09,-07:00,2025-04-18T20:22:09-07:00,0,0
style.css,97,css,4244221b,Jiya Makhija,2025-04-10,15:14:09,-07:00,2025-04-10T15:14:09-07:00,0,0
style.css,98,css,290f75d7,Jiya Makhija,2025-04-18,20:54:34,-07:00,2025-04-18T20:54:34-07:00,0,0
style.css,99,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,16
style.css,100,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,19
style.css,101,css,e3551c33,Jiya Makhija,2025-04-18,20:18:52,-07:00,2025-04-18T20:18:52-07:00,0,17
style.css,102,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,18
style.css,103,css,5a707e06,Jiya Makhija,2025-04-18,21:00:12,-07:00,2025-04-18T21:00:12-07:00,0,23
style.css,104,css,5a707e06,Jiya Makhija,2025-04-18,21:00:12,-07:00,2025-04-18T21:00:12-07:00,0,12
style.css,105,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,0
style.css,106,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,0
style.css,107,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,15
